Primary Key,English,Korean,Japanese,Chinese
PAV-00001,"AAR, alkali aggregate reaction","AAR, 알칼리 골재 반응",AAR、アルカリ骨材反応,AAR、碱骨料反应
PAV-00004,AASHTO Classification System,AASHTO 토질분류법,AASHTO土質分類法,AASHTO土分类法
PAV-00007,abrasion accelate test,마모촉진시험,摩耗促進試験,磨耗加速试验
PAV-00010,"abrasion reduction, loss",마모량,摩耗量,磨耗量
PAV-00013,abrasion resistance,마모 저항성,摩耗抵抗性,抗磨性
PAV-00016,"abrasion resistance of concrete, mortar surface by rotating cutter method",회전 절삭 방식 콘크리트 모르타르 표면 내마모성,回転切削方式コンクリートモルタル表面耐摩耗性,旋转切削法混凝土砂浆表面耐磨性
PAV-00019,absolute volume,절대 부피,絶対体積,绝对体积
PAV-00022,absorption factor,흡수 인자,吸水係数,吸水因子
PAV-00025,accelerating agent,촉진제,促進剤,促进剂
PAV-00028,Acceptable Quality Level (AQL),합격품질한계(AQL),合格品質限界（AQL）,接收质量限（AQL）
PAV-00031,Acceptance,인수 판정,受入れ判定,验收
PAV-00034,Acceptance Plan,인수검사계획,受入れ検査計画,验收方案
PAV-00037,Accuracy,정확도,正確さ,准确度
PAV-00040,Additive Silo,첨가제 사일로,添加剤サイロ,添加剂料仓
PAV-00043,Adjusted Payment,지급액 조정,支払額調整,支付调整
PAV-00046,admixture,혼화재,混和材,掺合料
PAV-00049,after curing,후 양생,後養生,后养护
PAV-00052,aggregate abrasion,골재 마모,骨材摩耗,骨料磨耗
PAV-00055,aggregate film rate,골재 피막율,骨材被膜率,骨料包裹率
PAV-00058,aggregate interlocking,골재 맞물림,骨材かみ合い,骨料嵌锁
PAV-00061,aggregate segregation,골재 분리,骨材分離,骨料离析
PAV-00064,Aggregates,골재,骨材,集料
PAV-00067,agitation,교반,撹拌,搅拌
PAV-00070,air content,공기량,空気量,含气量
PAV-00073,air entraining agent,공기 연행제,空気連行剤,引气剂
PAV-00076,air void,공극,空隙,空隙
PAV-00079,air-entraining and high range water reducing admixture,공기 연행 고성능 감수제,空気連行高性能減水剤,引气高效减水剂
PAV-00082,Alligator Cracking,거북등균열,亀甲状ひび割れ,龟裂
PAV-00085,allowable bearing capacity,허용 지지력,許容支持力,允许承载力
PAV-00088,alumina,알루미나,アルミナ,氧化铝
PAV-00091,angle of internal friction,내부마찰각,内部摩擦角,内摩擦角
PAV-00094,anti frost heave layer,동결융해방지층,凍上防止層,防冻胀层
PAV-00097,apparent density,겉보기 밀도,見かけ密度,表观密度
PAV-00100,apparent specific gravity,겉보기 비중,見かけ比重,表观比重
PAV-00103,Asphalt,아스팔트,アスファルト,沥青
PAV-00106,asphalt base course,아스팔트 기층,アスファルト基層,沥青基层
PAV-00109,Asphalt Concrete (AC),아스팔트 콘크리트(AC),アスファルトコンクリート（AC）,沥青混凝土（AC）
PAV-00112,Asphalt Concrete Base (ACB),아스팔트 콘크리트 기층(ACB),アスファルトコンクリート路盤（ACB）,沥青混凝土基层（ACB）
PAV-00115,Asphalt Concrete Pavement (ACP),아스팔트 콘크리트 포장(ACP),アスファルトコンクリート舗装（ACP）,沥青混凝土路面（ACP）
PAV-00118,asphalt concrete recycled aggregate,아스팔트 콘크리트 재생골재,アスファルトコンクリート再生骨材,沥青混凝土再生骨料
PAV-00121,Asphalt Concrete Surface (ACS),아스팔트 콘크리트 표층(ACS),表層用アスファルトコンクリート（ACS）,沥青混凝土面层（ACS）
PAV-00124,asphalt mixture,아스팔트 혼합물,アスファルト混合物,沥青混合料
PAV-00127,asphalt primer,아스팔트 프라이머,アスファルトプライマー,沥青底漆
PAV-00130,asphalt rate,아스팔트 함량,アスファルト含有率,沥青含量
PAV-00133,asphalt surface course,아스팔트 표층,アスファルト表層,沥青面层
PAV-00136,Asphalt Treated Permeable Base (ATPB),아스팔트 처리 투수성 기층(ATPB),アスファルト処理透水性路盤（ATPB）,沥青处治透水基层（ATPB）
PAV-00139,autoclaved light weight concrete,고압 증기 양생 경량 콘크리트,高圧蒸気養生軽量コンクリート,高压蒸汽养护轻质混凝土
PAV-00142,Average Annual Daily Traffic (AADT),연평균 일교통량(AADT),年平均日交通量（AADT）,年平均日交通量（AADT）
PAV-00145,Average Annual Daily Truck Traffic (AADTT),연평균 일트럭교통량(AADTT),年平均日トラック交通量（AADTT）,年平均日货车交通量（AADTT）
PAV-00148,Back calculation,역산해석,逆解析,模量反算
PAV-00151,backup material,백업 재료,バックアップ材料,支撑材料
PAV-00154,Base,기층,路盤,基层
PAV-00157,Base Course,기층,路盤層,基层
PAV-00160,base course surface,기층 표면,基層表面,基层表面
PAV-00163,batch,배치,バッチ,批次
PAV-00166,batch mixer,배치식 믹서,バッチ式ミキサー,间歇式搅拌机
PAV-00169,batch plant,배치식 플랜트,バッチ式プラント,间歇式搅拌站
PAV-00172,Batch Tower,배치 타워,バッチタワー,间歇式拌和楼
PAV-00175,"BB, black base",검은색 기층,ブラックベース,黑色基层
PAV-00178,bearing capacity,지지력,支持力,承载力
PAV-00181,bearing ratio,지지력비,支持力比,承载力比
PAV-00184,"BFS, blast furnace slag",고로 슬래그,高炉スラグ,高炉矿渣
PAV-00187,Bias,편의,かたより,偏倚
PAV-00190,Biased Sample,편의표본,偏りのある試料,有偏样本
PAV-00193,binder,결합재,結合材,胶凝材料
PAV-00196,bituminous material,역청 재료,瀝青材料,沥青材料
PAV-00199,Blaine Fineness,블레인 분말도,ブレーン比表面積,勃氏比表面积
PAV-00202,"blast furnace slag power type Ⅰ, Ⅱ, Ⅲ","고로 슬래그 분말 Ⅰ, Ⅱ, Ⅲ형",高炉スラグ粉末Ⅰ、Ⅱ、Ⅲ型,高炉矿渣粉Ⅰ、Ⅱ、Ⅲ型
PAV-00205,blast-furnace slag cement,고로 슬래그 시멘트,高炉スラグセメント,高炉矿渣水泥
PAV-00208,bleeding,블리딩,ブリーディング,泛油
PAV-00211,Bleeding/Flushing,블리딩(플러싱),フラッシング（ブリーディング）,泛油
PAV-00214,blistering,기포 발생,ブリスタリング,起泡
PAV-00217,blow up,팽창,ブローアップ,鼓包
PAV-00220,Bottom-Up Transverse Cracking,하면기점 횡방향 균열,下面起点横ひび割れ,自下而上横向裂缝
PAV-00223,british pendulum number,영국식 진자 수,ブリティッシュペンジュラム数,英国摆数
PAV-00226,british pendulum tester,영국식 진자 시험기,ブリティッシュペンジュラム試験機,英国摆测定仪
PAV-00229,brittle failure,취성파괴,脆性破壊,脆性破坏
PAV-00232,brittleness index,취성지수,脆性指数,脆性指数
PAV-00235,bulk cement,벌크 시멘트,バルクセメント,散装水泥
PAV-00238,Bulk Saturated Surface Dry Specific Gravity,표면건조 포화 비중,表乾比重,表干毛体积相对密度
PAV-00241,Bulk Specific Gravity,용적비중,かさ比重,毛体积相对密度
PAV-00244,bulk specific gravity of compacted asphalt concrete,다짐 아스팔트 콘크리트 벌크 비중,締固めアスファルトコンクリート嵩比重,压实沥青混凝土堆积密度
PAV-00247,bulk volume of filler,필러의 벌크 부피,フィラーのバルク体積,填料的堆积体积
PAV-00250,Buyer's Risk (β),소비자 위험(β),消費者危険（β）,使用方风险（β）
PAV-00253,California Bearing Ratio (CBR),CBR(캘리포니아 지지력비),CBR（カリフォルニア支持力比）,加州承载比（CBR）
PAV-00256,cellulose fiber,셀룰로오스섬유,セルロース繊維,纤维素纤维
PAV-00259,cement concrete pavement,시멘트콘크리트포장,セメントコンクリート舗装,水泥混凝土路面
PAV-00262,cement stabilization,시멘트안정처리,セメント安定処理,水泥稳定处理
PAV-00265,cement stabilized filter base,시멘트안정처리필터기층,セメント安定処理フィルター基層,水泥稳定处理滤层基层
PAV-00268,Cement-Treated Base (CTB),시멘트 안정처리 기층(CTB),セメント安定処理路盤（CTB）,水泥稳定基层（CTB）
PAV-00271,Cement-Treated Permeable Base (CTPB),시멘트 처리 투수성 기층(CTPB),セメント処理透水性路盤（CTPB）,水泥处治透水基层（CTPB）
PAV-00274,chips,칩,チップ,碎石
PAV-00277,Cleanliness,청정도,清浄度,洁净度
PAV-00280,coarse aggregate,굵은 골재,粗骨材,粗骨料
PAV-00283,coarse asphalt mixture,굵은 아스팔트 혼합물,粗粒度アスファルト混合物,粗粒式沥青混合料
PAV-00286,Coarse Grained,조립토,粗粒土,粗粒土
PAV-00289,coefficient of absorption,흡수 계수,吸水係数,吸水系数
PAV-00292,coefficient of bearing capacity,지지력계수,支持力係数,承载力系数
PAV-00295,coefficient of curvature,곡률 계수,曲率係数,曲率系数
PAV-00298,coefficient of layer equivalency,층등가계수,層等価係数,层当量系数
PAV-00301,Coefficient of Thermal Expansion (CTE),열팽창계수(CTE),線膨張係数（CTE）,线膨胀系数（CTE）
PAV-00304,coefficient of uniformity,균등계수,均等係数,均匀系数
PAV-00307,Coefficient of Variation,변동계수,変動係数,变异系数
PAV-00310,Cohesion,점착력,粘着力,黏聚力
PAV-00313,cold asphalt,냉혼합아스팔트,冷混合アスファルト,冷拌沥青混合料
PAV-00316,cold bin,냉골재저장소,冷骨材貯蔵庫,冷骨料仓
PAV-00319,cold joint,냉접합부,冷接合部,冷接缝
PAV-00322,cold weather concrete,저온 콘크리트,低温コンクリート,低温混凝土
PAV-00325,collected dust,집진 분진,集塵粉塵,集尘粉尘
PAV-00328,color pavement,컬러포장,カラー舗装,彩色路面
PAV-00331,compacting factor test,다짐 계수 시험,締固め係数試験,压实系数试验
PAV-00334,compaction of asphalt mixture,아스팔트 혼합물 다짐,アスファルト混合物の締固め,沥青混合料压实
PAV-00337,complete protection method,완전 보호 공법,完全保護工法,完全保护工法
